桩号,施工日期,桩型,设计桩长(m),实际打入深度(m),总锤击数(击),停锤贯入度(mm/10击),终压力(kN),施工班组,设备编号,备注
PHC-001,2026-05-01,PHC-A500(100),28,28.4,1450,18.2,2150,打桩一队,HD-01,正常成桩
PHC-002,2026-05-01,PHC-A500(100),28,28.1,1380,19.0,2100,打桩一队,HD-01,正常成桩
PHC-003,2026-05-01,PHC-A500(100),28,27.9,1420,18.5,2120,打桩一队,HD-01,正常成桩
PHC-004,2026-05-01,PHC-A500(100),28,28.2,1490,17.8,2180,打桩一队,HD-01,正常成桩
PHC-005,2026-05-02,PHC-A500(100),30,30.5,1680,16.5,2300,打桩二队,HD-02,正常成桩
PHC-006,2026-05-02,PHC-A500(100),30,29.8,1620,17.0,2260,打桩二队,HD-02,正常成桩
PHC-007,2026-05-02,PHC-A500(100),30,27.5,1950,10.5,2520,打桩二队,HD-02,遇硬夹层提前停锤(欠深2.5m)
PHC-008,2026-05-03,PHC-A500(100),32,32.1,1820,15.2,2400,打桩一队,HD-01,正常成桩
PHC-009,2026-05-03,PHC-A500(100),32,32.4,1790,15.8,2380,打桩一队,HD-01,正常成桩
PHC-010,2026-05-03,PHC-A500(100),32,31.9,1850,16.0,2420,打桩一队,HD-01,正常成桩
PHC-011,2026-05-04,PHC-A500(100),28,28.3,1410,18.8,2130,打桩二队,HD-02,正常成桩
PHC-012,2026-05-04,PHC-A500(100),28,28.0,1390,19.2,2110,打桩二队,HD-02,正常成桩
